Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,Year,Month,Quarter,YearMonth,Adalah_Agregat,Adalah_Provisional
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,TWh,19.01,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,TWh,72.57,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,33.86,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,17.96,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,TWh,19.01,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,TWh,1.05,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,%,2.7,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,%,42.26,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,%,35.6,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,%,13.5,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,%,0.0,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,%,1.37,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Renewables,%,3.42,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Solar,%,0.83,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Wind,%,0.32,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,TWh,2.47,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,TWh,38.71,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,TWh,32.6,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,TWh,12.36,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,TWh,0.0,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,TWh,1.26,,,2019,4,2,2019-04,False,False
